year,count,,journal,count,,MeSH super-term,count
,,,IDrugs : the investigational drugs journal,60,,,
,,,Journal of molecular cell biology,60,,,
,,,Methods in cell biology,60,,,
,,,Nature reviews. Immunology,60,,,
,,,Neurosurgical focus,60,,,
,,,New scientist (1971),60,,,
,,,Oncology,60,,,
,,,Seminars in reproductive medicine,60,,,
,,,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,60,,,
,,,"Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine / Zhongguo Zhong xi yi jie he xue hui, Zhongguo Zhong yi yan jiu yuan zhu ban",60,,,
,,,Baillière's clinical haematology,59,,,
,,,Clinical lymphoma & myeloma,59,,,
,,,Experimental and molecular pathology,59,,,
,,,Heart (British Cardiac Society),59,,,
,,,"Methods (San Diego, Calif.)",59,,,
,,,Molecular cancer research : MCR,59,,,
,,,Seminars in cancer biology,59,,,
,,,The Tohoku journal of experimental medicine,59,,,
,,,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,59,,,
,,,Brain research bulletin,58,,,
,,,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",58,,,
,,,Der Internist,58,,,
,,,Gene expression patterns : GEP,58,,,
,,,Immunobiology,58,,,
,,,Journal of biotechnology,58,,,
,,,Läkartidningen,58,,,
,,,Molecular neurobiology,58,,,
,,,Neurochemistry international,58,,,
,,,Polskie Archiwum Medycyny Wewnętrznej,58,,,
,,,Annals of transplantation : quarterly of the Polish Transplantation Society,57,,,
,,,Biotechnology journal,57,,,
,,,Epigenetics : official journal of the DNA Methylation Society,57,,,
,,,Infection and immunity,57,,,
,,,Microvascular research,57,,,
,,,Molecular cancer,57,,,
,,,Molecular immunology,57,,,
,,,Oral diseases,57,,,
,,,Biological & pharmaceutical bulletin,56,,,
,,,Clinics in haematology,56,,,
,,,Developmental and comparative immunology,56,,,
,,,Haematologia,56,,,
,,,International archives of allergy and immunology,56,,,
,,,Journal of biomolecular screening,56,,,
,,,Journal of dermatological science,56,,,
,,,Pharmacology & therapeutics,56,,,
,,,Urology,56,,,
,,,Acta haematologica Polonica,55,,,
,,,Aging,55,,,
,,,Ai zheng = Aizheng = Chinese journal of cancer,55,,,
,,,Cancer treatment reviews,55,,,
,,,Doklady Akademii nauk SSSR,55,,,
,,,Fetal diagnosis and therapy,55,,,
,,,"Future oncology (London, England)",55,,,
,,,International journal of nanomedicine,55,,,
,,,Shi yan sheng wu xue bao,55,,,
,,,The American journal of physiology,55,,,
,,,The oncologist,55,,,
,,,Toxicology letters,55,,,
,,,Trends in cell biology,55,,,
,,,Xi bao yu fen zi mian yi xue za zhi = Chinese journal of cellular and molecular immunology,55,,,
,,,Zhonghua nan ke xue = National journal of andrology,55,,,
,,,American journal of physiology. Lung cellular and molecular physiology,54,,,
,,,Archives of oral biology,54,,,
,,,"Cytometry. Part B, Clinical cytometry",54,,,
,,,Ernst Schering Research Foundation workshop,54,,,
,,,Japanese journal of clinical oncology,54,,,
,,,"Journal of immunotherapy (Hagerstown, Md. : 1997)",54,,,
,,,Nature reviews. Neuroscience,54,,,
,,,Organogenesis,54,,,
,,,Spine,54,,,
